game_date,game_loc,away_team,away_team_score,home_team,home_team_score,total_score,max_temp_C,min_temp_C,precipitation_mm,max_wind_speed_kmh,dominant_wind_dir_deg
2022-04-25,Citizens Bank Park,Colorado Rockies,2,Philadelphia Phillies,8,10,4.4,-4.6,0.4,11.8,339.0
2022-04-25,Busch Stadium III,New York Mets,5,St. Louis Cardinals,2,7,15.7,0.6,0.0,24.6,217.0
2022-04-25,Globe Life Field,Houston Astros,2,Texas Rangers,6,8,-3.8,-11.0,1.3,9.9,185.0
2022-04-25,Rogers Centre,Boston Red Sox,2,Toronto Blue Jays,6,8,16.4,10.4,4.1,31.1,249.0
2022-04-26,Angel Stadium of Anaheim,Cleveland Guardians,1,Los Angeles Angels,4,5,25.3,15.4,0.0,11.2,56.0
2022-04-26,Chase Field,Los Angeles Dodgers,3,Arizona Diamondbacks,5,8,36.7,16.5,0.0,17.4,203.0
2022-04-26,Truist Park,Chicago Cubs,1,Atlanta Braves,3,4,3.7,-6.4,1.3,26.1,288.0
2022-04-26,Guaranteed Rate Field,Kansas City Royals,6,Chicago White Sox,0,6,20.0,11.8,1.9,22.7,92.0
2022-04-26,Great American Ball Park,San Diego Padres,9,Cincinnati Reds,6,15,24.7,17.0,0.0,32.3,63.0
2022-04-26,Target Field,Detroit Tigers,4,Minnesota Twins,5,9,3.4,-2.0,5.9,11.6,251.0
2022-04-26,Yankee Stadium III,Baltimore Orioles,8,New York Yankees,12,20,8.9,-1.0,6.6,9.0,174.0
2022-04-26,Citizens Bank Park,Colorado Rockies,3,Philadelphia Phillies,10,13,7.0,-4.6,0.0,13.8,332.0
2022-04-26,PNC Park,Milwaukee Brewers,12,Pittsburgh Pirates,8,20,26.4,13.6,0.0,31.7,68.0
2022-04-26,Oracle Park,Oakland Athletics,2,San Francisco Giants,8,10,13.9,10.2,0.1,37.0,342.0
2022-04-26,Busch Stadium III,New York Mets,3,St. Louis Cardinals,0,3,10.2,1.4,6.0,28.9,246.0
2022-04-26,Tropicana Field,Seattle Mariners,8,Tampa Bay Rays,4,12,32.9,19.3,0.6,17.0,355.0
2022-04-26,Globe Life Field,Houston Astros,5,Texas Rangers,1,6,-4.0,-12.2,0.1,15.5,200.0
2022-04-26,Rogers Centre,Boston Red Sox,5,Toronto Blue Jays,6,11,20.1,8.4,0.2,17.6,265.0
2022-04-26,Nationals Park,Miami Marlins,5,Washington Nationals,2,7,27.6,15.2,0.0,29.3,312.0
2022-04-27,Angel Stadium of Anaheim,Cleveland Guardians,5,Los Angeles Angels,9,14,21.7,14.4,0.6,23.9,81.0
2022-04-27,Chase Field,Los Angeles Dodgers,1,Arizona Diamondbacks,3,4,33.9,17.4,0.0,21.4,223.0
2022-04-27,Truist Park,Chicago Cubs,6,Atlanta Braves,3,9,4.9,-10.3,0.0,21.4,298.0
2022-04-27,Guaranteed Rate Field,Kansas City Royals,3,Chicago White Sox,7,10,18.9,7.6,0.0,25.2,55.0
2022-04-27,Great American Ball Park,San Diego Padres,8,Cincinnati Reds,5,13,24.0,11.6,0.0,32.8,86.0
2022-04-27,Target Field,Detroit Tigers,0,Minnesota Twins,5,5,6.3,-3.9,0.6,15.9,279.0
2022-04-27,Yankee Stadium III,Baltimore Orioles,2,New York Yankees,5,7,6.2,-0.4,26.7,9.9,161.0
2022-04-27,Citizens Bank Park,Colorado Rockies,3,Philadelphia Phillies,7,10,3.5,-1.5,5.1,11.5,333.0
2022-04-27,PNC Park,Milwaukee Brewers,3,Pittsburgh Pirates,1,4,20.9,14.8,0.0,29.4,47.0
2022-04-27,Oracle Park,Oakland Athletics,1,San Francisco Giants,0,1,12.4,10.1,0.0,37.4,359.0
2022-04-27,Busch Stadium III,New York Mets,5,St. Louis Cardinals,10,15,9.7,-1.4,1.6,28.5,239.0
2022-04-27,Tropicana Field,Seattle Mariners,2,Tampa Bay Rays,3,5,34.9,16.9,0.0,12.4,341.0
2022-04-27,Globe Life Field,Houston Astros,4,Texas Rangers,3,7,-4.0,-10.6,3.6,14.5,230.0
2022-04-27,Rogers Centre,Boston Red Sox,7,Toronto Blue Jays,1,8,18.4,8.0,0.0,30.7,247.0
2022-04-27,Nationals Park,Miami Marlins,2,Washington Nationals,1,3,25.3,15.9,0.6,25.3,12.0
2022-04-28,Angel Stadium of Anaheim,Cleveland Guardians,1,Los Angeles Angels,4,5,18.5,9.7,5.9,22.5,55.0
2022-04-28,Truist Park,Chicago Cubs,1,Atlanta Braves,5,6,6.5,-4.5,0.0,28.5,283.0
2022-04-28,Guaranteed Rate Field,Kansas City Royals,5,Chicago White Sox,2,7,15.8,6.2,19.4,28.7,103.0
2022-04-28,Great American Ball Park,San Diego Padres,7,Cincinnati Reds,5,12,21.1,13.9,0.4,31.8,48.0
2022-04-28,Target Field,Detroit Tigers,1,Minnesota Twins,7,8,5.5,-3.7,0.0,15.3,360.0
2022-04-28,Yankee Stadium III,Baltimore Orioles,5,New York Yankees,10,15,15.5,-0.9,0.0,10.8,121.0
2022-04-28,Citizens Bank Park,Colorado Rockies,1,Philadelphia Phillies,7,8,7.7,-5.6,0.0,11.8,343.0
2022-04-28,PNC Park,Milwaukee Brewers,3,Pittsburgh Pirates,2,5,22.8,10.2,0.0,25.0,57.0
2022-04-28,Busch Stadium III,Arizona Diamondbacks,3,St. Louis Cardinals,8,11,6.7,-0.6,7.4,20.1,218.0
2022-04-28,Tropicana Field,Seattle Mariners,1,Tampa Bay Rays,2,3,33.1,20.1,0.0,12.5,69.0
2022-04-28,Globe Life Field,Houston Astros,3,Texas Rangers,2,5,-3.1,-13.4,0.0,18.1,193.0
2022-04-28,Rogers Centre,Boston Red Sox,0,Toronto Blue Jays,1,1,20.2,7.7,0.0,11.5,275.0
2022-04-28,Nationals Park,Miami Marlins,3,Washington Nationals,2,5,25.9,14.8,0.0,23.9,309.0
2022-04-29,Oriole Park at Camden Yards,Boston Red Sox,3,Baltimore Orioles,1,4,23.1,12.9,0.0,18.3,89.0
2022-04-29,Guaranteed Rate Field,Los Angeles Angels,5,Chicago White Sox,1,6,13.9,5.4,0.5,20.1,148.0
2022-04-29,Coors Field,Cincinnati Reds,4,Colorado Rockies,10,14,11.5,5.3,0.6,29.3,7.0
2022-04-29,Kauffman Stadium,New York Yankees,12,Kansas City Royals,2,14,4.8,-2.0,0.4,31.8,0.0
2022-04-29,Dodger Stadium,Detroit Tigers,1,Los Angeles Dodgers,5,6,16.9,9.2,0.0,13.2,15.0
2022-04-29,loanDepot park,Seattle Mariners,6,Miami Marlins,8,14,44.8,25.8,0.0,21.6,283.0
2022-04-29,American Family Field,Chicago Cubs,1,Milwaukee Brewers,11,12,17.1,8.7,0.0,28.3,347.0
2022-04-29,Citi Field,Philadelphia Phillies,0,New York Mets,3,3,10.6,-3.9,0.0,11.0,119.0
2022-04-29,RingCentral Coliseum,Cleveland Guardians,9,Oakland Athletics,8,17,10.4,9.1,0.1,30.2,337.0
2022-04-29,PNC Park,San Diego Padres,7,Pittsburgh Pirates,3,10,21.3,10.3,0.0,23.8,71.0
2022-04-29,Oracle Park,Washington Nationals,14,San Francisco Giants,4,18,10.2,9.1,0.4,30.6,343.0
2022-04-29,Busch Stadium III,Arizona Diamondbacks,6,St. Louis Cardinals,2,8,-0.2,-9.1,8.5,28.3,257.0
2022-04-29,Tropicana Field,Minnesota Twins,1,Tampa Bay Rays,6,7,31.9,21.0,0.9,15.0,71.0
2022-04-29,Globe Life Field,Atlanta Braves,6,Texas Rangers,3,9,-2.2,-9.5,0.4,16.4,245.0
2022-04-29,Rogers Centre,Houston Astros,11,Toronto Blue Jays,7,18,25.3,5.9,0.0,30.9,72.0
2022-04-30,Oriole Park at Camden Yards,Boston Red Sox,1,Baltimore Orioles,2,3,22.9,15.0,0.0,21.5,89.0
2022-04-30,Guaranteed Rate Field,Los Angeles Angels,0,Chicago White Sox,4,4,17.0,6.3,0.0,13.2,73.0
2022-04-30,Coors Field,Cincinnati Reds,3,Colorado Rockies,4,7,13.8,0.9,0.0,24.7,358.0
2022-04-30,Kauffman Stadium,New York Yankees,3,Kansas City Royals,0,3,3.9,-5.6,0.4,23.3,14.0
2022-04-30,Dodger Stadium,Detroit Tigers,5,Los Angeles Dodgers,1,6,18.1,9.9,0.1,10.3,350.0
2022-04-30,loanDepot park,Seattle Mariners,1,Miami Marlins,3,4,44.3,28.2,0.0,23.7,290.0
2022-04-30,American Family Field,Chicago Cubs,1,Milwaukee Brewers,9,10,18.9,8.5,0.0,19.7,97.0
2022-04-30,Citi Field,Philadelphia Phillies,4,New York Mets,1,5,7.5,1.0,3.3,12.0,128.0
2022-04-30,RingCentral Coliseum,Cleveland Guardians,3,Oakland Athletics,1,4,11.4,10.1,0.1,28.3,297.0
2022-04-30,PNC Park,San Diego Padres,6,Pittsburgh Pirates,7,13,21.9,10.5,0.0,18.8,96.0
2022-04-30,Oracle Park,Washington Nationals,3,San Francisco Giants,9,12,11.4,9.8,0.2,29.1,299.0
2022-04-30,Busch Stadium III,Arizona Diamondbacks,2,St. Louis Cardinals,0,2,0.8,-12.5,0.0,20.5,140.0
2022-04-30,Tropicana Field,Minnesota Twins,9,Tampa Bay Rays,1,10,31.1,21.6,0.0,17.9,89.0
2022-04-30,Globe Life Field,Atlanta Braves,1,Texas Rangers,3,4,-4.8,-14.5,0.0,20.5,293.0
2022-04-30,Rogers Centre,Houston Astros,1,Toronto Blue Jays,2,3,28.2,7.1,0.0,16.6,68.0
2022-05-01,Oriole Park at Camden Yards,Boston Red Sox,5,Baltimore Orioles,9,14,24.8,12.2,0.0,16.3,70.0
2022-05-01,Guaranteed Rate Field,Los Angeles Angels,6,Chicago White Sox,5,11,19.7,7.5,0.0,14.6,50.0
2022-05-01,Coors Field,Cincinnati Reds,1,Colorado Rockies,10,11,17.6,4.1,0.0,21.5,298.0
2022-05-01,Kauffman Stadium,New York Yankees,6,Kansas City Royals,4,10,6.0,-7.6,0.0,20.6,39.0
2022-05-01,Dodger Stadium,Detroit Tigers,3,Los Angeles Dodgers,6,9,20.9,9.5,0.0,18.8,245.0
2022-05-01,loanDepot park,Seattle Mariners,7,Miami Marlins,3,10,40.0,27.6,0.0,21.6,81.0
2022-05-01,American Family Field,Chicago Cubs,2,Milwaukee Brewers,0,2,20.4,10.1,0.0,19.8,69.0
2022-05-01,Citi Field,Philadelphia Phillies,6,New York Mets,10,16,9.4,-0.9,0.0,13.7,118.0
2022-05-01,RingCentral Coliseum,Cleveland Guardians,7,Oakland Athletics,3,10,13.2,10.9,0.0,37.3,270.0
2022-05-01,PNC Park,San Diego Padres,5,Pittsburgh Pirates,2,7,24.3,13.6,0.0,15.5,167.0
2022-05-01,Oracle Park,Washington Nationals,11,San Francisco Giants,5,16,13.0,10.9,0.0,38.5,269.0
2022-05-01,Busch Stadium III,Arizona Diamondbacks,5,St. Louis Cardinals,7,12,3.5,-13.1,0.0,19.7,156.0
2022-05-01,Tropicana Field,Minnesota Twins,9,Tampa Bay Rays,3,12,29.8,20.3,4.8,17.1,97.0
2022-05-01,Globe Life Field,Atlanta Braves,3,Texas Rangers,7,10,-6.4,-17.2,0.0,17.5,302.0
2022-05-01,Rogers Centre,Houston Astros,2,Toronto Blue Jays,3,5,30.6,13.7,0.0,17.5,63.0
2022-05-02,Oriole Park at Camden Yards,Minnesota Twins,2,Baltimore Orioles,1,3,27.0,11.3,0.0,11.9,84.0
2022-05-02,Guaranteed Rate Field,Los Angeles Angels,0,Chicago White Sox,3,3,22.9,9.1,0.0,25.6,256.0
2022-05-02,Minute Maid Park,Seattle Mariners,0,Houston Astros,3,3,7.0,-0.4,0.7,8.0,60.0
2022-05-02,loanDepot park,Arizona Diamondbacks,5,Miami Marlins,4,9,39.0,27.3,0.5,25.8,87.0
2022-05-02,Citi Field,Atlanta Braves,5,New York Mets,2,7,11.8,0.3,0.0,12.6,119.0
2022-05-02,RingCentral Coliseum,Tampa Bay Rays,6,Oakland Athletics,1,7,13.2,11.3,0.0,24.5,33.0
2022-05-02,Busch Stadium III,Kansas City Royals,0,St. Louis Cardinals,1,1,9.9,-7.3,0.0,15.3,206.0
2022-05-02,Rogers Centre,New York Yankees,3,Toronto Blue Jays,2,5,32.8,13.9,0.0,17.6,42.0
2022-05-03,Oriole Park at Camden Yards,Minnesota Twins,7,Baltimore Orioles,2,9,29.0,11.9,0.0,11.3,78.0
2022-05-03,Fenway Park,Los Angeles Angels,0,Boston Red Sox,4,4,7.9,1.1,1.5,11.4,191.0
2022-05-03,Wrigley Field,Chicago White Sox,3,Chicago Cubs,1,4,23.1,12.8,0.0,20.9,267.0
2022-05-03,Coors Field,Washington Nationals,10,Colorado Rockies,2,12,24.5,7.4,0.0,26.5,227.0
2022-05-03,Minute Maid Park,Seattle Mariners,0,Houston Astros,4,4,2.4,0.7,14.9,6.9,63.0
2022-05-03,Kauffman Stadium,St. Louis Cardinals,1,Kansas City Royals,7,8,14.8,-0.5,0.0,23.2,148.0
2022-05-03,Dodger Stadium,San Francisco Giants,1,Los Angeles Dodgers,3,4,26.9,13.7,0.0,15.4,187.0
2022-05-03,loanDepot park,Arizona Diamondbacks,5,Miami Marlins,4,9,41.3,27.2,0.3,22.1,67.0
2022-05-03,American Family Field,Cincinnati Reds,3,Milwaukee Brewers,6,9,25.9,15.4,0.0,16.9,46.0
2022-05-03,Citi Field,Atlanta Braves,4,New York Mets,5,9,10.5,2.3,0.9,8.6,139.0
2022-05-03,Citi Field,Atlanta Braves,0,New York Mets,3,3,10.5,2.3,0.9,8.6,139.0
2022-05-03,RingCentral Coliseum,Tampa Bay Rays,10,Oakland Athletics,7,17,17.1,12.4,0.0,42.0,200.0
2022-05-03,Citizens Bank Park,Texas Rangers,6,Philadelphia Phillies,4,10,11.4,-2.2,0.5,10.2,155.0
2022-05-03,Rogers Centre,New York Yankees,9,Toronto Blue Jays,1,10,30.8,15.8,0.0,32.9,265.0
2022-05-04,Oriole Park at Camden Yards,Minnesota Twins,4,Baltimore Orioles,9,13,31.7,15.9,0.1,12.3,302.0
2022-05-04,Fenway Park,Los Angeles Angels,10,Boston Red Sox,5,15,7.5,-0.0,0.8,10.8,189.0
2022-05-04,Wrigley Field,Chicago White Sox,4,Chicago Cubs,3,7,26.7,13.4,0.0,19.5,73.0
2022-05-04,Progressive Field,San Diego Padres,5,Cleveland Guardians,4,9,26.2,10.6,0.0,11.2,262.0
2022-05-04,Progressive Field,San Diego Padres,5,Cleveland Guardians,6,11,26.2,10.6,0.0,11.2,262.0
2022-05-04,Coors Field,Washington Nationals,2,Colorado Rockies,5,7,30.1,11.9,0.0,23.7,256.0
2022-05-04,Comerica Park,Pittsburgh Pirates,2,Detroit Tigers,3,5,14.2,3.1,0.0,12.3,207.0
2022-05-04,Comerica Park,Pittsburgh Pirates,7,Detroit Tigers,2,9,14.2,3.1,0.0,12.3,207.0
2022-05-04,Minute Maid Park,Seattle Mariners,2,Houston Astros,7,9,7.0,-1.3,0.6,7.8,53.0
2022-05-04,Kauffman Stadium,St. Louis Cardinals,10,Kansas City Royals,0,10,19.6,4.1,0.0,23.4,130.0
2022-05-04,Dodger Stadium,San Francisco Giants,1,Los Angeles Dodgers,9,10,27.9,16.2,0.0,19.9,193.0
2022-05-04,loanDepot park,Arizona Diamondbacks,8,Miami Marlins,7,15,41.1,26.1,0.0,17.9,77.0
2022-05-04,American Family Field,Cincinnati Reds,4,Milwaukee Brewers,18,22,30.1,19.3,0.0,44.6,337.0
2022-05-04,Citi Field,Atlanta Braves,9,New York Mets,2,11,8.8,1.4,15.8,5.3,168.0
2022-05-04,RingCentral Coliseum,Tampa Bay Rays,3,Oakland Athletics,0,3,19.5,15.1,0.0,43.2,195.0
2022-05-04,Citizens Bank Park,Texas Rangers,2,Philadelphia Phillies,1,3,14.8,-0.9,2.5,12.2,171.0
2022-05-04,Rogers Centre,New York Yankees,1,Toronto Blue Jays,2,3,29.3,19.4,0.0,24.1,257.0
2022-05-05,Oriole Park at Camden Yards,Minnesota Twins,3,Baltimore Orioles,5,8,31.6,19.0,0.0,25.2,295.0
2022-05-05,Fenway Park,Los Angeles Angels,8,Boston Red Sox,0,8,5.3,-1.4,3.7,6.6,213.0
2022-05-05,Progressive Field,Toronto Blue Jays,5,Cleveland Guardians,6,11,27.4,14.6,0.0,15.9,54.0
2022-05-05,Coors Field,Washington Nationals,7,Colorado Rockies,9,16,26.9,15.5,0.0,43.8,44.0
