game_date,game_loc,away_team,away_team_score,home_team,home_team_score
"Thursday, April 1, 2021",Angel Stadium of Anaheim,Chicago White Sox,3,Los Angeles Angels,4
"Thursday, April 1, 2021",Wrigley Field,Pittsburgh Pirates,5,Chicago Cubs,3
"Thursday, April 1, 2021",Great American Ball Park,St. Louis Cardinals,11,Cincinnati Reds,6
"Thursday, April 1, 2021",Coors Field,Los Angeles Dodgers,5,Colorado Rockies,8
"Thursday, April 1, 2021",Comerica Park,Cleveland Indians,2,Detroit Tigers,3
"Thursday, April 1, 2021",Kauffman Stadium,Texas Rangers,10,Kansas City Royals,14
"Thursday, April 1, 2021",loanDepot park,Tampa Bay Rays,1,Miami Marlins,0
"Thursday, April 1, 2021",American Family Field,Minnesota Twins,5,Milwaukee Brewers,6
"Thursday, April 1, 2021",Yankee Stadium III,Toronto Blue Jays,3,New York Yankees,2
"Thursday, April 1, 2021",RingCentral Coliseum,Houston Astros,8,Oakland Athletics,1
"Thursday, April 1, 2021",Citizens Bank Park,Atlanta Braves,2,Philadelphia Phillies,3
"Thursday, April 1, 2021",Petco Park,Arizona Diamondbacks,7,San Diego Padres,8
"Thursday, April 1, 2021",T-Mobile Park,San Francisco Giants,7,Seattle Mariners,8
"Friday, April 2, 2021",Angel Stadium of Anaheim,Chicago White Sox,12,Los Angeles Angels,8
"Friday, April 2, 2021",Fenway Park,Baltimore Orioles,3,Boston Red Sox,0
"Friday, April 2, 2021",Coors Field,Los Angeles Dodgers,11,Colorado Rockies,6
"Friday, April 2, 2021",loanDepot park,Tampa Bay Rays,6,Miami Marlins,4
"Friday, April 2, 2021",RingCentral Coliseum,Houston Astros,9,Oakland Athletics,5
"Friday, April 2, 2021",Petco Park,Arizona Diamondbacks,2,San Diego Padres,4
"Friday, April 2, 2021",T-Mobile Park,San Francisco Giants,6,Seattle Mariners,3
"Saturday, April 3, 2021",Angel Stadium of Anaheim,Chicago White Sox,3,Los Angeles Angels,5
"Saturday, April 3, 2021",Fenway Park,Baltimore Orioles,4,Boston Red Sox,2
"Saturday, April 3, 2021",Wrigley Field,Pittsburgh Pirates,1,Chicago Cubs,5
"Saturday, April 3, 2021",Great American Ball Park,St. Louis Cardinals,6,Cincinnati Reds,9
"Saturday, April 3, 2021",Coors Field,Los Angeles Dodgers,6,Colorado Rockies,5
"Saturday, April 3, 2021",Comerica Park,Cleveland Indians,2,Detroit Tigers,5
"Saturday, April 3, 2021",Kauffman Stadium,Texas Rangers,4,Kansas City Royals,11
