game_date,game_loc,away_team,away_team_score,home_team,home_team_score
"Sunday, April 9, 2023",Wrigley Field,Texas Rangers,8,Chicago Cubs,2
"Sunday, April 9, 2023",Progressive Field,Seattle Mariners,6,Cleveland Guardians,7
"Sunday, April 9, 2023",Coors Field,Washington Nationals,6,Colorado Rockies,7
"Sunday, April 9, 2023",Comerica Park,Boston Red Sox,4,Detroit Tigers,1
"Sunday, April 9, 2023",American Family Field,St. Louis Cardinals,1,Milwaukee Brewers,6
"Sunday, April 9, 2023",Target Field,Houston Astros,5,Minnesota Twins,1
"Sunday, April 9, 2023",Citi Field,Miami Marlins,7,New York Mets,2
"Sunday, April 9, 2023",Citizens Bank Park,Cincinnati Reds,6,Philadelphia Phillies,4
"Sunday, April 9, 2023",PNC Park,Chicago White Sox,0,Pittsburgh Pirates,1
"Sunday, April 9, 2023",Oracle Park,Kansas City Royals,1,San Francisco Giants,3
"Sunday, April 9, 2023",Tropicana Field,Oakland Athletics,0,Tampa Bay Rays,11
"Monday, April 10, 2023",Angel Stadium of Anaheim,Washington Nationals,6,Los Angeles Angels,4
"Monday, April 10, 2023",Chase Field,Milwaukee Brewers,0,Arizona Diamondbacks,3
"Monday, April 10, 2023",Truist Park,Cincinnati Reds,4,Atlanta Braves,5
"Monday, April 10, 2023",Oriole Park at Camden Yards,Oakland Athletics,1,Baltimore Orioles,5
"Monday, April 10, 2023",Wrigley Field,Seattle Mariners,2,Chicago Cubs,3
"Monday, April 10, 2023",Progressive Field,New York Yankees,2,Cleveland Guardians,3
"Monday, April 10, 2023",Coors Field,St. Louis Cardinals,4,Colorado Rockies,7
"Monday, April 10, 2023",Target Field,Chicago White Sox,4,Minnesota Twins,3
"Monday, April 10, 2023",Citi Field,San Diego Padres,0,New York Mets,5
"Monday, April 10, 2023",Citizens Bank Park,Miami Marlins,3,Philadelphia Phillies,15
"Monday, April 10, 2023",PNC Park,Houston Astros,8,Pittsburgh Pirates,2
"Monday, April 10, 2023",Oracle Park,Los Angeles Dodgers,9,San Francisco Giants,1
"Monday, April 10, 2023",Tropicana Field,Boston Red Sox,0,Tampa Bay Rays,1
"Monday, April 10, 2023",Globe Life Field,Kansas City Royals,2,Texas Rangers,11
"Tuesday, April 11, 2023",Angel Stadium of Anaheim,Washington Nationals,0,Los Angeles Angels,2
"Tuesday, April 11, 2023",Chase Field,Milwaukee Brewers,7,Arizona Diamondbacks,1
"Tuesday, April 11, 2023",Truist Park,Cincinnati Reds,6,Atlanta Braves,7
"Tuesday, April 11, 2023",Oriole Park at Camden Yards,Oakland Athletics,8,Baltimore Orioles,12
"Tuesday, April 11, 2023",Wrigley Field,Seattle Mariners,9,Chicago Cubs,14
"Tuesday, April 11, 2023",Progressive Field,New York Yankees,11,Cleveland Guardians,2
"Tuesday, April 11, 2023",Coors Field,St. Louis Cardinals,9,Colorado Rockies,6
"Tuesday, April 11, 2023",Target Field,Chicago White Sox,3,Minnesota Twins,4
"Tuesday, April 11, 2023",Citi Field,San Diego Padres,4,New York Mets,2
"Tuesday, April 11, 2023",Citizens Bank Park,Miami Marlins,8,Philadelphia Phillies,4
"Tuesday, April 11, 2023",PNC Park,Houston Astros,4,Pittsburgh Pirates,7
"Tuesday, April 11, 2023",Oracle Park,Los Angeles Dodgers,0,San Francisco Giants,5
"Tuesday, April 11, 2023",Tropicana Field,Boston Red Sox,2,Tampa Bay Rays,7
"Tuesday, April 11, 2023",Globe Life Field,Kansas City Royals,5,Texas Rangers,8
"Tuesday, April 11, 2023",Rogers Centre,Detroit Tigers,3,Toronto Blue Jays,9
"Wednesday, April 12, 2023",Angel Stadium of Anaheim,Washington Nationals,2,Los Angeles Angels,3
"Wednesday, April 12, 2023",Chase Field,Milwaukee Brewers,3,Arizona Diamondbacks,7
"Wednesday, April 12, 2023",Truist Park,Cincinnati Reds,4,Atlanta Braves,5
"Wednesday, April 12, 2023",Oriole Park at Camden Yards,Oakland Athletics,8,Baltimore Orioles,4
"Wednesday, April 12, 2023",Wrigley Field,Seattle Mariners,5,Chicago Cubs,2
"Wednesday, April 12, 2023",Progressive Field,New York Yankees,4,Cleveland Guardians,3
"Wednesday, April 12, 2023",Coors Field,St. Louis Cardinals,7,Colorado Rockies,4
"Wednesday, April 12, 2023",Target Field,Chicago White Sox,1,Minnesota Twins,3
"Wednesday, April 12, 2023",Citi Field,San Diego Padres,2,New York Mets,5
"Wednesday, April 12, 2023",Citizens Bank Park,Miami Marlins,3,Philadelphia Phillies,2
"Wednesday, April 12, 2023",PNC Park,Houston Astros,7,Pittsburgh Pirates,0
"Wednesday, April 12, 2023",Oracle Park,Los Angeles Dodgers,10,San Francisco Giants,5
"Wednesday, April 12, 2023",Tropicana Field,Boston Red Sox,7,Tampa Bay Rays,9
"Wednesday, April 12, 2023",Globe Life Field,Kansas City Royals,10,Texas Rangers,1
"Wednesday, April 12, 2023",Rogers Centre,Detroit Tigers,3,Toronto Blue Jays,4
"Thursday, April 13, 2023",Oriole Park at Camden Yards,Oakland Athletics,7,Baltimore Orioles,8
"Thursday, April 13, 2023",Great American Ball Park,Philadelphia Phillies,2,Cincinnati Reds,6
"Thursday, April 13, 2023",Yankee Stadium III,Minnesota Twins,11,New York Yankees,2
"Thursday, April 13, 2023",Petco Park,Milwaukee Brewers,4,San Diego Padres,3
"Thursday, April 13, 2023",Busch Stadium III,Pittsburgh Pirates,5,St. Louis Cardinals,0
"Thursday, April 13, 2023",Tropicana Field,Boston Red Sox,3,Tampa Bay Rays,9
"Thursday, April 13, 2023",Rogers Centre,Detroit Tigers,3,Toronto Blue Jays,1
"Friday, April 14, 2023",Fenway Park,Los Angeles Angels,3,Boston Red Sox,5
"Friday, April 14, 2023",Guaranteed Rate Field,Baltimore Orioles,6,Chicago White Sox,3
"Friday, April 14, 2023",Great American Ball Park,Philadelphia Phillies,8,Cincinnati Reds,3
"Friday, April 14, 2023",Comerica Park,San Francisco Giants,5,Detroit Tigers,7
"Friday, April 14, 2023",Minute Maid Park,Texas Rangers,6,Houston Astros,2
"Friday, April 14, 2023",Kauffman Stadium,Atlanta Braves,10,Kansas City Royals,3
"Friday, April 14, 2023",Dodger Stadium,Chicago Cubs,8,Los Angeles Dodgers,2
"Friday, April 14, 2023",loanDepot park,Arizona Diamondbacks,1,Miami Marlins,5
"Friday, April 14, 2023",Yankee Stadium III,Minnesota Twins,4,New York Yankees,3
"Friday, April 14, 2023",Oakland Coliseum,New York Mets,17,Oakland Athletics,6
"Friday, April 14, 2023",Petco Park,Milwaukee Brewers,11,San Diego Padres,2
"Friday, April 14, 2023",T-Mobile Park,Colorado Rockies,3,Seattle Mariners,5
"Friday, April 14, 2023",Busch Stadium III,Pittsburgh Pirates,0,St. Louis Cardinals,3
"Friday, April 14, 2023",Rogers Centre,Tampa Bay Rays,3,Toronto Blue Jays,6
"Friday, April 14, 2023",Nationals Park,Cleveland Guardians,4,Washington Nationals,3
"Saturday, April 15, 2023",Fenway Park,Los Angeles Angels,7,Boston Red Sox,9
"Saturday, April 15, 2023",Guaranteed Rate Field,Baltimore Orioles,6,Chicago White Sox,7
"Saturday, April 15, 2023",Great American Ball Park,Philadelphia Phillies,0,Cincinnati Reds,13
"Saturday, April 15, 2023",Comerica Park,San Francisco Giants,6,Detroit Tigers,7
"Saturday, April 15, 2023",Minute Maid Park,Texas Rangers,2,Houston Astros,8
"Saturday, April 15, 2023",Kauffman Stadium,Atlanta Braves,9,Kansas City Royals,3
"Saturday, April 15, 2023",Dodger Stadium,Chicago Cubs,1,Los Angeles Dodgers,2
"Saturday, April 15, 2023",loanDepot park,Arizona Diamondbacks,2,Miami Marlins,3
"Saturday, April 15, 2023",Yankee Stadium III,Minnesota Twins,1,New York Yankees,6
"Saturday, April 15, 2023",Oakland Coliseum,New York Mets,3,Oakland Athletics,2
"Saturday, April 15, 2023",Petco Park,Milwaukee Brewers,3,San Diego Padres,10
"Saturday, April 15, 2023",T-Mobile Park,Colorado Rockies,2,Seattle Mariners,9
"Saturday, April 15, 2023",Busch Stadium III,Pittsburgh Pirates,6,St. Louis Cardinals,3
"Saturday, April 15, 2023",Rogers Centre,Tampa Bay Rays,2,Toronto Blue Jays,5
"Saturday, April 15, 2023",Nationals Park,Cleveland Guardians,6,Washington Nationals,4
"Sunday, April 16, 2023",Fenway Park,Los Angeles Angels,1,Boston Red Sox,2
"Sunday, April 16, 2023",Guaranteed Rate Field,Baltimore Orioles,8,Chicago White Sox,4
"Sunday, April 16, 2023",Great American Ball Park,Philadelphia Phillies,14,Cincinnati Reds,3
"Sunday, April 16, 2023",Minute Maid Park,Texas Rangers,9,Houston Astros,1
"Sunday, April 16, 2023",Kauffman Stadium,Atlanta Braves,5,Kansas City Royals,4
"Sunday, April 16, 2023",Dodger Stadium,Chicago Cubs,3,Los Angeles Dodgers,2
"Sunday, April 16, 2023",loanDepot park,Arizona Diamondbacks,5,Miami Marlins,0
"Sunday, April 16, 2023",Yankee Stadium III,Minnesota Twins,0,New York Yankees,2
"Sunday, April 16, 2023",Oakland Coliseum,New York Mets,4,Oakland Athletics,3
"Sunday, April 16, 2023",Petco Park,Milwaukee Brewers,1,San Diego Padres,0
"Sunday, April 16, 2023",T-Mobile Park,Colorado Rockies,0,Seattle Mariners,1
"Sunday, April 16, 2023",Busch Stadium III,Pittsburgh Pirates,4,St. Louis Cardinals,5
"Sunday, April 16, 2023",Rogers Centre,Tampa Bay Rays,8,Toronto Blue Jays,1
"Sunday, April 16, 2023",Nationals Park,Cleveland Guardians,6,Washington Nationals,7
"Monday, April 17, 2023",Fenway Park,Los Angeles Angels,5,Boston Red Sox,4
"Monday, April 17, 2023",Great American Ball Park,Tampa Bay Rays,1,Cincinnati Reds,8
"Monday, April 17, 2023",Coors Field,Pittsburgh Pirates,14,Colorado Rockies,3
"Monday, April 17, 2023",Minute Maid Park,Toronto Blue Jays,2,Houston Astros,9
"Monday, April 17, 2023",Kauffman Stadium,Texas Rangers,4,Kansas City Royals,0
"Monday, April 17, 2023",Dodger Stadium,New York Mets,8,Los Angeles Dodgers,6
"Monday, April 17, 2023",loanDepot park,San Francisco Giants,3,Miami Marlins,4
"Monday, April 17, 2023",Oakland Coliseum,Chicago Cubs,10,Oakland Athletics,1
"Monday, April 17, 2023",Petco Park,Atlanta Braves,2,San Diego Padres,0
"Monday, April 17, 2023",T-Mobile Park,Milwaukee Brewers,7,Seattle Mariners,3
"Monday, April 17, 2023",Busch Stadium III,Arizona Diamondbacks,6,St. Louis Cardinals,3
"Tuesday, April 18, 2023",Fenway Park,Minnesota Twins,4,Boston Red Sox,5
"Tuesday, April 18, 2023",Guaranteed Rate Field,Philadelphia Phillies,7,Chicago White Sox,4
"Tuesday, April 18, 2023",Guaranteed Rate Field,Philadelphia Phillies,0,Chicago White Sox,3
"Tuesday, April 18, 2023",Great American Ball Park,Tampa Bay Rays,10,Cincinnati Reds,0
"Tuesday, April 18, 2023",Coors Field,Pittsburgh Pirates,5,Colorado Rockies,3
"Tuesday, April 18, 2023",Comerica Park,Cleveland Guardians,3,Detroit Tigers,4
"Tuesday, April 18, 2023",Comerica Park,Cleveland Guardians,0,Detroit Tigers,1
"Tuesday, April 18, 2023",Minute Maid Park,Toronto Blue Jays,4,Houston Astros,2
"Tuesday, April 18, 2023",Kauffman Stadium,Texas Rangers,12,Kansas City Royals,2
"Tuesday, April 18, 2023",Dodger Stadium,New York Mets,0,Los Angeles Dodgers,5
"Tuesday, April 18, 2023",loanDepot park,San Francisco Giants,2,Miami Marlins,4
"Tuesday, April 18, 2023",Yankee Stadium III,Los Angeles Angels,5,New York Yankees,2
"Tuesday, April 18, 2023",Oakland Coliseum,Chicago Cubs,4,Oakland Athletics,0
"Tuesday, April 18, 2023",Petco Park,Atlanta Braves,8,San Diego Padres,1
"Tuesday, April 18, 2023",T-Mobile Park,Milwaukee Brewers,6,Seattle Mariners,5
"Tuesday, April 18, 2023",Busch Stadium III,Arizona Diamondbacks,8,St. Louis Cardinals,7
"Tuesday, April 18, 2023",Nationals Park,Baltimore Orioles,1,Washington Nationals,0
"Wednesday, April 19, 2023",Fenway Park,Minnesota Twins,10,Boston Red Sox,4
"Wednesday, April 19, 2023",Guaranteed Rate Field,Philadelphia Phillies,5,Chicago White Sox,2
"Wednesday, April 19, 2023",Great American Ball Park,Tampa Bay Rays,8,Cincinnati Reds,0
"Wednesday, April 19, 2023",Coors Field,Pittsburgh Pirates,14,Colorado Rockies,3
"Wednesday, April 19, 2023",Comerica Park,Cleveland Guardians,3,Detroit Tigers,2
"Wednesday, April 19, 2023",Minute Maid Park,Toronto Blue Jays,1,Houston Astros,8
"Wednesday, April 19, 2023",Kauffman Stadium,Texas Rangers,12,Kansas City Royals,3
"Wednesday, April 19, 2023",Dodger Stadium,New York Mets,5,Los Angeles Dodgers,3
"Wednesday, April 19, 2023",loanDepot park,San Francisco Giants,5,Miami Marlins,2
"Wednesday, April 19, 2023",Yankee Stadium III,Los Angeles Angels,2,New York Yankees,3
"Wednesday, April 19, 2023",Oakland Coliseum,Chicago Cubs,12,Oakland Athletics,2
"Wednesday, April 19, 2023",Petco Park,Atlanta Braves,0,San Diego Padres,1
"Wednesday, April 19, 2023",T-Mobile Park,Milwaukee Brewers,5,Seattle Mariners,3
"Wednesday, April 19, 2023",Busch Stadium III,Arizona Diamondbacks,5,St. Louis Cardinals,14
"Wednesday, April 19, 2023",Nationals Park,Baltimore Orioles,4,Washington Nationals,0
"Thursday, April 20, 2023",Chase Field,San Diego Padres,7,Arizona Diamondbacks,5
"Thursday, April 20, 2023",Fenway Park,Minnesota Twins,5,Boston Red Sox,11
"Thursday, April 20, 2023",Wrigley Field,Los Angeles Dodgers,6,Chicago Cubs,2
"Thursday, April 20, 2023",Yankee Stadium III,Los Angeles Angels,3,New York Yankees,9
"Thursday, April 20, 2023",Citizens Bank Park,Colorado Rockies,5,Philadelphia Phillies,0
"Thursday, April 20, 2023",PNC Park,Cincinnati Reds,3,Pittsburgh Pirates,4
"Thursday, April 20, 2023",Oracle Park,New York Mets,9,San Francisco Giants,4
"Friday, April 21, 2023",Angel Stadium of Anaheim,Kansas City Royals,0,Los Angeles Angels,2
"Friday, April 21, 2023",Chase Field,San Diego Padres,0,Arizona Diamondbacks,9
"Friday, April 21, 2023",Truist Park,Houston Astros,6,Atlanta Braves,4
"Friday, April 21, 2023",Oriole Park at Camden Yards,Detroit Tigers,1,Baltimore Orioles,2
"Friday, April 21, 2023",Wrigley Field,Los Angeles Dodgers,0,Chicago Cubs,13
"Friday, April 21, 2023",American Family Field,Boston Red Sox,5,Milwaukee Brewers,3
"Friday, April 21, 2023",Target Field,Washington Nationals,3,Minnesota Twins,2
"Friday, April 21, 2023",Yankee Stadium III,Toronto Blue Jays,6,New York Yankees,1
"Friday, April 21, 2023",Citizens Bank Park,Colorado Rockies,3,Philadelphia Phillies,4
"Friday, April 21, 2023",PNC Park,Cincinnati Reds,2,Pittsburgh Pirates,4
"Friday, April 21, 2023",T-Mobile Park,St. Louis Cardinals,2,Seattle Mariners,5
"Friday, April 21, 2023",Oracle Park,New York Mets,7,San Francisco Giants,0
"Friday, April 21, 2023",Tropicana Field,Chicago White Sox,7,Tampa Bay Rays,8
"Friday, April 21, 2023",Globe Life Field,Oakland Athletics,5,Texas Rangers,4
"Saturday, April 22, 2023",Angel Stadium of Anaheim,Kansas City Royals,11,Los Angeles Angels,8
"Saturday, April 22, 2023",Chase Field,San Diego Padres,5,Arizona Diamondbacks,3
"Saturday, April 22, 2023",Truist Park,Houston Astros,6,Atlanta Braves,3
"Saturday, April 22, 2023",Oriole Park at Camden Yards,Detroit Tigers,1,Baltimore Orioles,5
"Saturday, April 22, 2023",Wrigley Field,Los Angeles Dodgers,9,Chicago Cubs,4
"Saturday, April 22, 2023",Progressive Field,Miami Marlins,6,Cleveland Guardians,1
"Saturday, April 22, 2023",Progressive Field,Miami Marlins,3,Cleveland Guardians,2
"Saturday, April 22, 2023",American Family Field,Boston Red Sox,4,Milwaukee Brewers,5
"Saturday, April 22, 2023",Target Field,Washington Nationals,10,Minnesota Twins,4
