game_date,game_loc,away_team,away_team_score,home_team,home_team_score
"Thursday, March 30, 2023",Fenway Park,Baltimore Orioles,10,Boston Red Sox,9
"Thursday, March 30, 2023",Wrigley Field,Milwaukee Brewers,0,Chicago Cubs,4
"Thursday, March 30, 2023",Great American Ball Park,Pittsburgh Pirates,5,Cincinnati Reds,4
"Thursday, March 30, 2023",Minute Maid Park,Chicago White Sox,3,Houston Astros,2
"Thursday, March 30, 2023",Kauffman Stadium,Minnesota Twins,2,Kansas City Royals,0
"Thursday, March 30, 2023",Dodger Stadium,Arizona Diamondbacks,2,Los Angeles Dodgers,8
"Thursday, March 30, 2023",loanDepot park,New York Mets,5,Miami Marlins,3
"Thursday, March 30, 2023",Yankee Stadium III,San Francisco Giants,0,New York Yankees,5
"Thursday, March 30, 2023",Oakland Coliseum,Los Angeles Angels,1,Oakland Athletics,2
"Thursday, March 30, 2023",Petco Park,Colorado Rockies,7,San Diego Padres,2
"Thursday, March 30, 2023",T-Mobile Park,Cleveland Guardians,0,Seattle Mariners,3
"Thursday, March 30, 2023",Busch Stadium III,Toronto Blue Jays,10,St. Louis Cardinals,9
"Thursday, March 30, 2023",Tropicana Field,Detroit Tigers,0,Tampa Bay Rays,4
"Thursday, March 30, 2023",Globe Life Field,Philadelphia Phillies,7,Texas Rangers,11
"Thursday, March 30, 2023",Nationals Park,Atlanta Braves,7,Washington Nationals,2
"Friday, March 31, 2023",Minute Maid Park,Chicago White Sox,3,Houston Astros,6
"Friday, March 31, 2023",Dodger Stadium,Arizona Diamondbacks,2,Los Angeles Dodgers,1
"Friday, March 31, 2023",loanDepot park,New York Mets,1,Miami Marlins,2
"Friday, March 31, 2023",Petco Park,Colorado Rockies,4,San Diego Padres,1
"Friday, March 31, 2023",T-Mobile Park,Cleveland Guardians,9,Seattle Mariners,4
"Saturday, April 1, 2023",Fenway Park,Baltimore Orioles,8,Boston Red Sox,9
"Saturday, April 1, 2023",Wrigley Field,Milwaukee Brewers,3,Chicago Cubs,1
"Saturday, April 1, 2023",Great American Ball Park,Pittsburgh Pirates,2,Cincinnati Reds,6
"Saturday, April 1, 2023",Minute Maid Park,Chicago White Sox,4,Houston Astros,6
"Saturday, April 1, 2023",Kauffman Stadium,Minnesota Twins,2,Kansas City Royals,0
"Saturday, April 1, 2023",Dodger Stadium,Arizona Diamondbacks,1,Los Angeles Dodgers,10
"Saturday, April 1, 2023",loanDepot park,New York Mets,6,Miami Marlins,2
"Saturday, April 1, 2023",Yankee Stadium III,San Francisco Giants,7,New York Yankees,5
"Saturday, April 1, 2023",Oakland Coliseum,Los Angeles Angels,13,Oakland Athletics,1
"Saturday, April 1, 2023",Petco Park,Colorado Rockies,4,San Diego Padres,8
"Saturday, April 1, 2023",T-Mobile Park,Cleveland Guardians,2,Seattle Mariners,0
"Saturday, April 1, 2023",Busch Stadium III,Toronto Blue Jays,1,St. Louis Cardinals,4
"Saturday, April 1, 2023",Tropicana Field,Detroit Tigers,2,Tampa Bay Rays,12
"Saturday, April 1, 2023",Globe Life Field,Philadelphia Phillies,3,Texas Rangers,16
"Saturday, April 1, 2023",Nationals Park,Atlanta Braves,7,Washington Nationals,1
"Sunday, April 2, 2023",Fenway Park,Baltimore Orioles,5,Boston Red Sox,9
"Sunday, April 2, 2023",Wrigley Field,Milwaukee Brewers,9,Chicago Cubs,5
"Sunday, April 2, 2023",Great American Ball Park,Pittsburgh Pirates,1,Cincinnati Reds,3
"Sunday, April 2, 2023",Minute Maid Park,Chicago White Sox,6,Houston Astros,3
"Sunday, April 2, 2023",Kauffman Stadium,Minnesota Twins,7,Kansas City Royals,4
"Sunday, April 2, 2023",Dodger Stadium,Arizona Diamondbacks,2,Los Angeles Dodgers,1
"Sunday, April 2, 2023",loanDepot park,New York Mets,5,Miami Marlins,1
"Sunday, April 2, 2023",Yankee Stadium III,San Francisco Giants,0,New York Yankees,6
"Sunday, April 2, 2023",Oakland Coliseum,Los Angeles Angels,6,Oakland Athletics,0
"Sunday, April 2, 2023",Petco Park,Colorado Rockies,1,San Diego Padres,3
"Sunday, April 2, 2023",T-Mobile Park,Cleveland Guardians,6,Seattle Mariners,5
"Sunday, April 2, 2023",Busch Stadium III,Toronto Blue Jays,4,St. Louis Cardinals,9
"Sunday, April 2, 2023",Tropicana Field,Detroit Tigers,1,Tampa Bay Rays,5
"Sunday, April 2, 2023",Globe Life Field,Philadelphia Phillies,1,Texas Rangers,2
"Sunday, April 2, 2023",Nationals Park,Atlanta Braves,1,Washington Nationals,4
"Monday, April 3, 2023",Fenway Park,Pittsburgh Pirates,7,Boston Red Sox,6
"Monday, April 3, 2023",Guaranteed Rate Field,San Francisco Giants,12,Chicago White Sox,3
"Monday, April 3, 2023",Great American Ball Park,Chicago Cubs,6,Cincinnati Reds,7
"Monday, April 3, 2023",Minute Maid Park,Detroit Tigers,7,Houston Astros,6
"Monday, April 3, 2023",Kauffman Stadium,Toronto Blue Jays,5,Kansas City Royals,9
"Monday, April 3, 2023",Dodger Stadium,Colorado Rockies,4,Los Angeles Dodgers,13
"Monday, April 3, 2023",loanDepot park,Minnesota Twins,11,Miami Marlins,1
"Monday, April 3, 2023",American Family Field,New York Mets,0,Milwaukee Brewers,10
"Monday, April 3, 2023",Yankee Stadium III,Philadelphia Phillies,1,New York Yankees,8
"Monday, April 3, 2023",Oakland Coliseum,Cleveland Guardians,12,Oakland Athletics,11
"Monday, April 3, 2023",Petco Park,Arizona Diamondbacks,4,San Diego Padres,5
"Monday, April 3, 2023",T-Mobile Park,Los Angeles Angels,7,Seattle Mariners,3
"Monday, April 3, 2023",Busch Stadium III,Atlanta Braves,8,St. Louis Cardinals,4
"Monday, April 3, 2023",Globe Life Field,Baltimore Orioles,2,Texas Rangers,0
"Monday, April 3, 2023",Nationals Park,Tampa Bay Rays,6,Washington Nationals,2
"Tuesday, April 4, 2023",Fenway Park,Pittsburgh Pirates,4,Boston Red Sox,1
"Tuesday, April 4, 2023",Great American Ball Park,Chicago Cubs,12,Cincinnati Reds,5
"Tuesday, April 4, 2023",Minute Maid Park,Detroit Tigers,6,Houston Astros,3
"Tuesday, April 4, 2023",Kauffman Stadium,Toronto Blue Jays,4,Kansas City Royals,1
"Tuesday, April 4, 2023",Dodger Stadium,Colorado Rockies,2,Los Angeles Dodgers,5
"Tuesday, April 4, 2023",loanDepot park,Minnesota Twins,0,Miami Marlins,1
"Tuesday, April 4, 2023",American Family Field,New York Mets,0,Milwaukee Brewers,9
"Tuesday, April 4, 2023",Yankee Stadium III,Philadelphia Phillies,4,New York Yankees,1
"Tuesday, April 4, 2023",Oakland Coliseum,Cleveland Guardians,3,Oakland Athletics,4
"Tuesday, April 4, 2023",Petco Park,Arizona Diamondbacks,8,San Diego Padres,6
"Tuesday, April 4, 2023",T-Mobile Park,Los Angeles Angels,2,Seattle Mariners,11
"Tuesday, April 4, 2023",Busch Stadium III,Atlanta Braves,4,St. Louis Cardinals,1
"Tuesday, April 4, 2023",Globe Life Field,Baltimore Orioles,7,Texas Rangers,2
"Tuesday, April 4, 2023",Nationals Park,Tampa Bay Rays,10,Washington Nationals,6
"Wednesday, April 5, 2023",Fenway Park,Pittsburgh Pirates,4,Boston Red Sox,1
"Wednesday, April 5, 2023",Guaranteed Rate Field,San Francisco Giants,3,Chicago White Sox,7
"Wednesday, April 5, 2023",Minute Maid Park,Detroit Tigers,2,Houston Astros,8
"Wednesday, April 5, 2023",Kauffman Stadium,Toronto Blue Jays,3,Kansas City Royals,0
"Wednesday, April 5, 2023",loanDepot park,Minnesota Twins,2,Miami Marlins,5
"Wednesday, April 5, 2023",American Family Field,New York Mets,6,Milwaukee Brewers,7
"Wednesday, April 5, 2023",Yankee Stadium III,Philadelphia Phillies,2,New York Yankees,4
"Wednesday, April 5, 2023",Oakland Coliseum,Cleveland Guardians,6,Oakland Athletics,4
"Wednesday, April 5, 2023",T-Mobile Park,Los Angeles Angels,4,Seattle Mariners,3
"Wednesday, April 5, 2023",Busch Stadium III,Atlanta Braves,5,St. Louis Cardinals,2
"Wednesday, April 5, 2023",Globe Life Field,Baltimore Orioles,2,Texas Rangers,5
"Wednesday, April 5, 2023",Nationals Park,Tampa Bay Rays,7,Washington Nationals,2
"Thursday, April 6, 2023",Chase Field,Los Angeles Dodgers,5,Arizona Diamondbacks,2
"Thursday, April 6, 2023",Truist Park,San Diego Padres,6,Atlanta Braves,7
"Thursday, April 6, 2023",Guaranteed Rate Field,San Francisco Giants,16,Chicago White Sox,6
"Thursday, April 6, 2023",Coors Field,Washington Nationals,0,Colorado Rockies,1
"Thursday, April 6, 2023",Comerica Park,Boston Red Sox,6,Detroit Tigers,3
"Thursday, April 6, 2023",Kauffman Stadium,Toronto Blue Jays,6,Kansas City Royals,3
"Friday, April 7, 2023",Angel Stadium of Anaheim,Toronto Blue Jays,4,Los Angeles Angels,3
"Friday, April 7, 2023",Chase Field,Los Angeles Dodgers,3,Arizona Diamondbacks,6
"Friday, April 7, 2023",Truist Park,San Diego Padres,5,Atlanta Braves,4
"Friday, April 7, 2023",Oriole Park at Camden Yards,New York Yankees,6,Baltimore Orioles,7
"Friday, April 7, 2023",Wrigley Field,Texas Rangers,0,Chicago Cubs,2
"Friday, April 7, 2023",Progressive Field,Seattle Mariners,5,Cleveland Guardians,3
"Friday, April 7, 2023",Coors Field,Washington Nationals,10,Colorado Rockies,5
"Friday, April 7, 2023",American Family Field,St. Louis Cardinals,0,Milwaukee Brewers,4
"Friday, April 7, 2023",Target Field,Houston Astros,2,Minnesota Twins,3
"Friday, April 7, 2023",Citi Field,Miami Marlins,3,New York Mets,9
"Friday, April 7, 2023",Citizens Bank Park,Cincinnati Reds,2,Philadelphia Phillies,5
"Friday, April 7, 2023",PNC Park,Chicago White Sox,9,Pittsburgh Pirates,13
"Friday, April 7, 2023",Oracle Park,Kansas City Royals,3,San Francisco Giants,1
"Friday, April 7, 2023",Tropicana Field,Oakland Athletics,5,Tampa Bay Rays,9
"Saturday, April 8, 2023",Angel Stadium of Anaheim,Toronto Blue Jays,5,Los Angeles Angels,9
"Saturday, April 8, 2023",Chase Field,Los Angeles Dodgers,8,Arizona Diamondbacks,12
"Saturday, April 8, 2023",Truist Park,San Diego Padres,4,Atlanta Braves,1
"Saturday, April 8, 2023",Oriole Park at Camden Yards,New York Yankees,4,Baltimore Orioles,1
"Saturday, April 8, 2023",Wrigley Field,Texas Rangers,3,Chicago Cubs,10
"Saturday, April 8, 2023",Progressive Field,Seattle Mariners,3,Cleveland Guardians,2
"Saturday, April 8, 2023",Coors Field,Washington Nationals,7,Colorado Rockies,6
"Saturday, April 8, 2023",Comerica Park,Boston Red Sox,14,Detroit Tigers,5
"Saturday, April 8, 2023",American Family Field,St. Louis Cardinals,6,Milwaukee Brewers,0
"Saturday, April 8, 2023",Target Field,Houston Astros,6,Minnesota Twins,9
"Saturday, April 8, 2023",Citi Field,Miami Marlins,2,New York Mets,5
"Saturday, April 8, 2023",Citizens Bank Park,Cincinnati Reds,2,Philadelphia Phillies,3
"Saturday, April 8, 2023",PNC Park,Chicago White Sox,11,Pittsburgh Pirates,5
"Saturday, April 8, 2023",Oracle Park,Kansas City Royals,6,San Francisco Giants,5
"Saturday, April 8, 2023",Tropicana Field,Oakland Athletics,0,Tampa Bay Rays,11
"Sunday, April 9, 2023",Angel Stadium of Anaheim,Toronto Blue Jays,12,Los Angeles Angels,11
"Sunday, April 9, 2023",Chase Field,Los Angeles Dodgers,6,Arizona Diamondbacks,11
"Sunday, April 9, 2023",Truist Park,San Diego Padres,10,Atlanta Braves,2
"Sunday, April 9, 2023",Oriole Park at Camden Yards,New York Yankees,5,Baltimore Orioles,3
