game_date,game_loc,away_team,away_team_score,home_team,home_team_score
2025-03-18,Tokyo Dome,Los Angeles Dodgers,4,Chicago Cubs,1
2025-03-19,Tokyo Dome,Los Angeles Dodgers,6,Chicago Cubs,3
2025-03-27,Chase Field,Chicago Cubs,10,Arizona Diamondbacks,6
2025-03-27,Guaranteed Rate Field,Los Angeles Angels,1,Chicago White Sox,8
2025-03-27,Great American Ball Park,San Francisco Giants,6,Cincinnati Reds,4
2025-03-27,Minute Maid Park,New York Mets,1,Houston Astros,3
2025-03-27,Kauffman Stadium,Cleveland Guardians,7,Kansas City Royals,4
2025-03-27,Dodger Stadium,Detroit Tigers,4,Los Angeles Dodgers,5
2025-03-27,loanDepot park,Pittsburgh Pirates,4,Miami Marlins,5
2025-03-27,Yankee Stadium III,Milwaukee Brewers,2,New York Yankees,4
2025-03-27,Petco Park,Atlanta Braves,4,San Diego Padres,7
2025-03-27,T-Mobile Park,Athletics,2,Seattle Mariners,4
2025-03-27,Busch Stadium III,Minnesota Twins,3,St. Louis Cardinals,5
2025-03-27,Globe Life Field,Boston Red Sox,5,Texas Rangers,2
2025-03-27,Rogers Centre,Baltimore Orioles,12,Toronto Blue Jays,2
2025-03-27,Nationals Park,Philadelphia Phillies,7,Washington Nationals,3
2025-03-28,Chase Field,Chicago Cubs,1,Arizona Diamondbacks,8
2025-03-28,Minute Maid Park,New York Mets,3,Houston Astros,1
2025-03-28,Dodger Stadium,Detroit Tigers,5,Los Angeles Dodgers,8
2025-03-28,loanDepot park,Pittsburgh Pirates,4,Miami Marlins,3
2025-03-28,Petco Park,Atlanta Braves,3,San Diego Padres,4
2025-03-28,T-Mobile Park,Athletics,7,Seattle Mariners,0
2025-03-28,Steinbrenner Field,Colorado Rockies,2,Tampa Bay Rays,3
2025-03-28,Globe Life Field,Boston Red Sox,1,Texas Rangers,4
2025-03-28,Rogers Centre,Baltimore Orioles,2,Toronto Blue Jays,8
2025-03-29,Chase Field,Chicago Cubs,4,Arizona Diamondbacks,3
2025-03-29,Guaranteed Rate Field,Los Angeles Angels,1,Chicago White Sox,0
2025-03-29,Great American Ball Park,San Francisco Giants,2,Cincinnati Reds,3
2025-03-29,Minute Maid Park,New York Mets,1,Houston Astros,2
